Vaccine,Geographic Level,Geographic Name,Demographic_Level,Demographic Name,Indicator_label,Indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,February Week 3,2024-02-17,17.6163,16.208,56,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,February Week 3,2024-02-17,25.2806,14.9995,56,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,February Week 3,2024-02-17,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,February Week 4,2024-02-24,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,February Week 4,2024-02-24,,,29,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,February Week 4,2024-02-24,,,29,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,February Week 4,2024-02-24,,,29,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,February Week 4,2024-02-24,8.601,2.0324,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,March Week 1,2024-03-02,13.3826,17.8715,45,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,March Week 1,2024-03-02,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,March Week 1,2024-03-02,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,March Week 1,2024-03-02,17.8767,17.3078,45,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,March Week 1,2024-03-02,59.4225,22.1583,45,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,March Week 2,2024-03-09,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,March Week 2,2024-03-09,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,March Week 2,2024-03-09,10.4485,13.0897,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,March Week 2,2024-03-09,4.4095,7.9474,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,March Week 2,2024-03-09,75.8238,18.1212,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,March Week 3,2024-03-16,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,March Week 3,2024-03-16,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,March Week 3,2024-03-16,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,March Week 3,2024-03-16,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,March Week 3,2024-03-16,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,March Week 4,2024-03-23,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,March Week 4,2024-03-23,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,March Week 4,2024-03-23,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,March Week 4,2024-03-23,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,March Week 4,2024-03-23,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,March Week 5,2024-03-30,,,27,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,March Week 5,2024-03-30,,,27,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,March Week 5,2024-03-30,,,27,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,March Week 5,2024-03-30,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,March Week 5,2024-03-30,9.3182,2.2445,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,April Week 1,2024-04-06,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,April Week 1,2024-04-06,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,April Week 1,2024-04-06,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,April Week 1,2024-04-06,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,April Week 1,2024-04-06,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,April Week 2,2024-04-13,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,April Week 2,2024-04-13,60.2457,20.8236,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,April Week 2,2024-04-13,1.0519,1.8574,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,April Week 2,2024-04-13,28.8797,19.8021,31,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,April Week 2,2024-04-13,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,April Week 3,2024-04-20,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,April Week 3,2024-04-20,62.7457,23.5684,34,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,April Week 3,2024-04-20,1.3663,2.1239,34,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,April Week 3,2024-04-20,26.0652,20.3981,34,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,April Week 3,2024-04-20,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,April Week 4,2024-04-27,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,April Week 4,2024-04-27,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,April Week 4,2024-04-27,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,April Week 4,2024-04-27,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,April Week 4,2024-04-27,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 1,2024-05-04,59.3694,24.7698,37,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 1,2024-05-04,2.4604,3.1219,37,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 1,2024-05-04,28.3475,25.2898,37,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 1,2024-05-04,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,May Week 1,2024-05-04,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,May Week 2,2024-05-11,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 2,2024-05-11,31.1349,34.6332,43,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 2,2024-05-11,1.234,2.5098,43,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 2,2024-05-11,57.8084,38.6835,43,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 2,2024-05-11,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 3,2024-05-18,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 3,2024-05-18,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 3,2024-05-18,,,23,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 3,2024-05-18,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,May Week 3,2024-05-18,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,May Week 4,2024-05-25,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,May Week 4,2024-05-25,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,May Week 4,2024-05-25,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,May Week 4,2024-05-25,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,May Week 4,2024-05-25,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,June Week 1,2024-06-01,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 1,2024-06-01,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 1,2024-06-01,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 1,2024-06-01,,,28,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 1,2024-06-01,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,June Week 2,2024-06-08,9.8228,2.4462,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 2,2024-06-08,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 2,2024-06-08,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 2,2024-06-08,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 2,2024-06-08,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 3,2024-06-15,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 3,2024-06-15,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 3,2024-06-15,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,June Week 3,2024-06-15,10.6017,2.9516,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 3,2024-06-15,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 4,2024-06-22,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 4,2024-06-22,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,June Week 4,2024-06-22,10.6017,2.9516,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 4,2024-06-22,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 4,2024-06-22,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,June Week 5,2024-06-30,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,June Week 5,2024-06-30,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,June Week 5,2024-06-30,10.6017,2.9516,1197,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,June Week 5,2024-06-30,,,1197,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,June Week 5,2024-06-30,,,20,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,October Week 1,2024-10-05,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 1,2024-10-05,,,24,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,2024-10-05,,,24,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 1,2024-10-05,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,2024-10-05,,,24,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,2024-10-12,56.9913,19.084,104,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,2024-10-12,13.919,15.0412,104,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,2024-10-12,23.0157,12.6632,104,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 2,2024-10-12,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,October Week 2,2024-10-12,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,2024-10-19,,,26,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,October Week 3,2024-10-19,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,2024-10-19,,,26,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 3,2024-10-19,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,2024-10-19,,,26,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,October Week 4,2024-10-26,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,2024-10-26,,,16,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,2024-10-26,,,16,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,2024-10-26,,,16,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,October Week 4,2024-10-26,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,November Week 1,2024-11-02,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 1,2024-11-02,,,18,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 1,2024-11-02,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 1,2024-11-02,,,18,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 1,2024-11-02,,,18,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 2,2024-11-09,48.6348,43.7578,46,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,November Week 2,2024-11-09,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 2,2024-11-09,35.4629,31.5325,46,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 2,2024-11-09,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 2,2024-11-09,9.8283,10.9166,46,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 3,2024-11-16,19.277,16.4452,55,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 3,2024-11-16,53.3067,18.9492,55,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,November Week 3,2024-11-16,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 3,2024-11-16,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 3,2024-11-16,21.3423,15.6972,55,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 4,2024-11-23,21.4851,18.1207,40,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 4,2024-11-23,63.3145,20.256,40,0
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,November Week 4,2024-11-23,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 4,2024-11-23,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 4,2024-11-23,9.1264,9.0669,40,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,November Week 5,2024-11-30,,,12,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,November Week 5,2024-11-30,,,12,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,November Week 5,2024-11-30,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,November Week 5,2024-11-30,6.074,2.0669,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,November Week 5,2024-11-30,,,12,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,2024-12-07,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,2024-12-07,8.7941,2.6921,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 1,2024-12-07,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 1,2024-12-07,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,2024-12-07,,,19,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 2,2024-12-14,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 2,2024-12-14,,,15,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 2,2024-12-14,,,15,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,December Week 2,2024-12-14,10.0439,2.9659,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 2,2024-12-14,,,15,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 3,2024-12-21,,,7,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 3,2024-12-21,,,7,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 3,2024-12-21,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,December Week 3,2024-12-21,10.0439,2.9659,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 3,2024-12-21,,,7,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,December Week 4,2024-12-28,,,4,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,December Week 4,2024-12-28,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 4,2024-12-28,,,4,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 4,2024-12-28,,,4,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,December Week 4,2024-12-28,10.0439,2.9659,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 1,2025-01-04,,,6,1
COVID,State,Alaska,Overall,6 months-17 years,Up-to-date,Yes,January Week 1,2025-01-04,10.0439,2.9659,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 1,2025-01-04,,,6,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 1,2025-01-04,,,6,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 1,2025-01-04,,,1082,1
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Vaccinated,January Week 2,2025-01-11,10.0439,2.9659,1082,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 2,2025-01-11,46.7062,23.5287,40,0
COVID,State,Alaska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,January Week 2,2025-01-11,15.5064,17.8053,40,0
