Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_95pct,Unweighted Sample Size,Current_Season_Week_Ending_Label,COVID_season,suppression_flag
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 4,09/28/2024 12:00:00 AM,34.2,22.1775,46,09/28/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,31.5,6.1366,289,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,22.3,12.0768,64,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,09/21/2024 12:00:00 AM,23.7,4.6326,466,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,4.2,1.4053,4777,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,09/21/2024 12:00:00 AM,21.9,10.8114,64,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,09/21/2024 12:00:00 AM,18.1,4.6264,289,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,32.9,8.0158,308,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,6.6,2.3428,9267,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,9.6,1.8489,9854,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,4.8,4.9437,2721,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,37.1,5.7525,466,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,6.6,2.3428,9267,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 3,09/21/2024 12:00:00 AM,28.2,6.8725,308,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,29.6,5.5177,466,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 3,09/21/2024 12:00:00 AM,4.8,4.9437,2721,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 3,09/21/2024 12:00:00 AM,32.3,7.6318,308,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,9.6,1.8489,9854,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,September Week 3,09/21/2024 12:00:00 AM,4.2,1.4053,4777,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,51,13.8471,64,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 3,09/21/2024 12:00:00 AM,46.3,6.5973,289,09/21/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 2,09/14/2024 12:00:00 AM,32.1,5.6706,460,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,September Week 2,09/14/2024 12:00:00 AM,5.8,1.2873,9854,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 2,09/14/2024 12:00:00 AM,18.1,5.5933,215,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,September Week 2,09/14/2024 12:00:00 AM,3.1,1.1754,4777,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 2,09/14/2024 12:00:00 AM,32,7.842,215,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 2,09/14/2024 12:00:00 AM,4.4,5.4638,2721,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 2,09/14/2024 12:00:00 AM,3.1,1.1754,4777,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 2,09/14/2024 12:00:00 AM,32.6,6.5178,375,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 2,09/14/2024 12:00:00 AM,3.3,1.2007,9267,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 2,09/14/2024 12:00:00 AM,42.3,11.7816,98,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 2,09/14/2024 12:00:00 AM,46.7,8.0611,215,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 2,09/14/2024 12:00:00 AM,34.7,6.5427,375,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 2,09/14/2024 12:00:00 AM,26.1,5.1296,460,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 2,09/14/2024 12:00:00 AM,36.1,6.0355,460,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 2,09/14/2024 12:00:00 AM,35.4,12.5336,98,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 2,09/14/2024 12:00:00 AM,5.8,1.2873,9854,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,September Week 2,09/14/2024 12:00:00 AM,3.3,1.2007,9267,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 2,09/14/2024 12:00:00 AM,17.9,8.8154,98,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,September Week 2,09/14/2024 12:00:00 AM,4.4,5.4638,2721,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 2,09/14/2024 12:00:00 AM,29.5,6.0175,375,09/14/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 1,09/07/2024 12:00:00 AM,34.1,7.8156,262,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,September Week 1,09/07/2024 12:00:00 AM,2.2,1.0247,4777,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 1,09/07/2024 12:00:00 AM,22.7,5.3326,266,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 1,09/07/2024 12:00:00 AM,29.3,5.6255,384,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 1,09/07/2024 12:00:00 AM,1.3,0.3047,9267,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 1,09/07/2024 12:00:00 AM,26.7,6.0847,266,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 1,09/07/2024 12:00:00 AM,2.2,1.0247,4777,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 1,09/07/2024 12:00:00 AM,1.9,1.8302,2721,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 1,09/07/2024 12:00:00 AM,48.3,6.6218,266,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 1,09/07/2024 12:00:00 AM,27.8,6.771,262,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 1,09/07/2024 12:00:00 AM,50.7,12.037,85,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 1,09/07/2024 12:00:00 AM,15.7,7.3717,85,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,September Week 1,09/07/2024 12:00:00 AM,36.9,7.7097,262,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,September Week 1,09/07/2024 12:00:00 AM,3.7,1.1741,9854,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,September Week 1,09/07/2024 12:00:00 AM,36.5,6.2047,384,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 1,09/07/2024 12:00:00 AM,30.4,5.8271,384,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,September Week 1,09/07/2024 12:00:00 AM,1.9,1.8302,2721,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,September Week 1,09/07/2024 12:00:00 AM,1.3,0.3047,9267,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,September Week 1,09/07/2024 12:00:00 AM,31.7,11.0414,85,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,September Week 1,09/07/2024 12:00:00 AM,3.7,1.1741,9854,09/07/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/26/2024 12:00:00 AM,10.2,2.7549,2721,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/26/2024 12:00:00 AM,12.9,9.2344,57,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/26/2024 12:00:00 AM,52.2,13.5328,57,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,10/26/2024 12:00:00 AM,24.7,12.0352,57,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,October Week 4,10/26/2024 12:00:00 AM,8.9,2.5561,4777,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/26/2024 12:00:00 AM,8.9,2.5561,4777,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,10/26/2024 12:00:00 AM,29.2,9.1875,130,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/26/2024 12:00:00 AM,21.4,8.413,130,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/26/2024 12:00:00 AM,40.5,9.761,130,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,October Week 4,10/26/2024 12:00:00 AM,17.8,2.2085,9854,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/26/2024 12:00:00 AM,17.8,2.2085,9854,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,10/26/2024 12:00:00 AM,28.1,6.4726,324,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/26/2024 12:00:00 AM,17.8,5.1486,324,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/26/2024 12:00:00 AM,36.3,6.772,324,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,October Week 4,10/26/2024 12:00:00 AM,15.9,2.1109,9267,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 4,10/26/2024 12:00:00 AM,15.9,2.1109,9267,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 4,10/26/2024 12:00:00 AM,30.6,4.8506,482,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 4,10/26/2024 12:00:00 AM,14.8,3.542,482,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 4,10/26/2024 12:00:00 AM,38.7,5.1012,482,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,October Week 4,10/26/2024 12:00:00 AM,10.2,2.7549,2721,10/26/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/19/2024 12:00:00 AM,12.9,5.9147,106,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,October Week 3,10/19/2024 12:00:00 AM,7.3,1.2232,4777,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/19/2024 12:00:00 AM,7.3,1.2232,4777,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/19/2024 12:00:00 AM,17.2,2.0286,9854,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,10/19/2024 12:00:00 AM,29,9.4895,111,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/19/2024 12:00:00 AM,46.6,10.7559,106,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/19/2024 12:00:00 AM,17.1,3.588,587,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/19/2024 12:00:00 AM,13.2,5.3509,111,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,10/19/2024 12:00:00 AM,30.5,4.6528,587,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/19/2024 12:00:00 AM,14.1,1.5011,9267,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 3,10/19/2024 12:00:00 AM,13.4,4.5444,361,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,October Week 3,10/19/2024 12:00:00 AM,9.1,1.7612,2721,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/19/2024 12:00:00 AM,35.8,6.5198,361,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,October Week 3,10/19/2024 12:00:00 AM,17.2,2.0286,9854,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/19/2024 12:00:00 AM,38.2,4.7735,587,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,10/19/2024 12:00:00 AM,31.4,10.8115,106,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,October Week 3,10/19/2024 12:00:00 AM,14.1,1.5011,9267,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 3,10/19/2024 12:00:00 AM,33.6,6.4302,361,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 3,10/19/2024 12:00:00 AM,9.1,1.7612,2721,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 3,10/19/2024 12:00:00 AM,50.5,12.1848,111,10/19/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,10/12/2024 12:00:00 AM,26.9,7.3323,277,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/12/2024 12:00:00 AM,29.3,4.7234,468,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/12/2024 12:00:00 AM,13,1.4034,9267,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,Up-to-date,Yes,October Week 2,10/12/2024 12:00:00 AM,14.9,1.7185,9854,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,Up-to-date,Yes,October Week 2,10/12/2024 12:00:00 AM,13,1.4034,9267,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,Up-to-date,Yes,October Week 2,10/12/2024 12:00:00 AM,9,1.768,2721,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/12/2024 12:00:00 AM,22.7,4.5308,468,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/12/2024 12:00:00 AM,39.7,9.828,187,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/12/2024 12:00:00 AM,37.7,8.2761,277,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/12/2024 12:00:00 AM,25.7,9.8084,187,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/12/2024 12:00:00 AM,9,1.768,2721,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/12/2024 12:00:00 AM,14.9,1.7185,9854,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/12/2024 12:00:00 AM,51.6,7.6843,249,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,10/12/2024 12:00:00 AM,25.6,6.7666,249,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,Up-to-date,Yes,October Week 2,10/12/2024 12:00:00 AM,7.1,1.2452,4777,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Arizona,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,10/12/2024 12:00:00 AM,25.5,8.3475,187,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/12/2024 12:00:00 AM,20.5,5.9371,277,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,October Week 2,10/12/2024 12:00:00 AM,35,5.4386,468,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/12/2024 12:00:00 AM,7.1,1.2452,4777,10/12/2024 12:00:00 AM,2024-2025,0
COVID,State,Nevada,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/12/2024 12:00:00 AM,15.7,5.751,249,10/12/2024 12:00:00 AM,2024-2025,0
